time,projectId,userId,metric_id,chunk_index,quality,body_pose,led_pd_pos,offset_column,exp,led,gain,value
1667895302.312,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.32,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.328,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.335,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.343,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.351,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.359,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.367,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.375,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.382,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.39,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.398,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.406,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.414,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.421,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.429,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.437,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.445,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.453,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.46,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.468,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.476,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.484,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.492,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.5,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.507,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.515,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.523,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.531,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.539,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.546,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.554,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.562,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.57,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.578,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.585,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.593,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.601,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.609,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.617,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.625,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.632,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.64,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.648,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.656,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.664,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.671,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.679,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.687,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.695,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.703,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.71,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.718,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.726,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.734,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.742,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.75,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.757,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.765,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.773,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.781,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.789,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.796,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.804,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.812,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.82,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.828,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.835,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.843,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.851,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.859,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.867,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.875,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.882,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
