projectId,userId,time,rr
SCAI-ECG-BP,user_sensei_661,1668087931.581,21
SCAI-ECG-BP,user_sensei_661,1668087932.581,21
SCAI-ECG-BP,user_sensei_661,1668087933.581,21
SCAI-ECG-BP,user_sensei_661,1668087934.581,21
SCAI-ECG-BP,user_sensei_661,1668087935.581,21
SCAI-ECG-BP,user_sensei_661,1668087936.581,21
SCAI-ECG-BP,user_sensei_661,1668087937.581,22
SCAI-ECG-BP,user_sensei_661,1668087938.581,22
SCAI-ECG-BP,user_sensei_661,1668087939.581,22
SCAI-ECG-BP,user_sensei_661,1668087940.581,22
SCAI-ECG-BP,user_sensei_661,1668087941.581,23
SCAI-ECG-BP,user_sensei_661,1668087942.581,23
SCAI-ECG-BP,user_sensei_661,1668087943.581,23
SCAI-ECG-BP,user_sensei_661,1668087944.581,23
SCAI-ECG-BP,user_sensei_661,1668087945.581,23
SCAI-ECG-BP,user_sensei_661,1668087946.581,23
SCAI-ECG-BP,user_sensei_661,1668087947.581,23
SCAI-ECG-BP,user_sensei_661,1668087948.581,24
SCAI-ECG-BP,user_sensei_661,1668087949.581,24
SCAI-ECG-BP,user_sensei_661,1668087950.581,24
SCAI-ECG-BP,user_sensei_661,1668087951.581,25
SCAI-ECG-BP,user_sensei_661,1668087952.581,25
SCAI-ECG-BP,user_sensei_661,1668087953.581,25
SCAI-ECG-BP,user_sensei_661,1668087954.581,25
SCAI-ECG-BP,user_sensei_661,1668087955.581,25
SCAI-ECG-BP,user_sensei_661,1668087956.581,25
SCAI-ECG-BP,user_sensei_661,1668087957.581,25
SCAI-ECG-BP,user_sensei_661,1668087958.581,25
SCAI-ECG-BP,user_sensei_661,1668087959.581,25
SCAI-ECG-BP,user_sensei_661,1668087960.581,25
SCAI-ECG-BP,user_sensei_661,1668087961.581,25
SCAI-ECG-BP,user_sensei_661,1668087962.581,25
SCAI-ECG-BP,user_sensei_661,1668087963.581,25
SCAI-ECG-BP,user_sensei_661,1668087964.581,25
SCAI-ECG-BP,user_sensei_661,1668087965.581,25
SCAI-ECG-BP,user_sensei_661,1668087966.581,24
SCAI-ECG-BP,user_sensei_661,1668087967.581,24
SCAI-ECG-BP,user_sensei_661,1668087968.581,24
SCAI-ECG-BP,user_sensei_661,1668087969.581,24
SCAI-ECG-BP,user_sensei_661,1668087970.581,24
SCAI-ECG-BP,user_sensei_661,1668087971.581,24
SCAI-ECG-BP,user_sensei_661,1668087972.581,24
SCAI-ECG-BP,user_sensei_661,1668087973.581,24
SCAI-ECG-BP,user_sensei_661,1668087974.581,24
SCAI-ECG-BP,user_sensei_661,1668087975.581,24
SCAI-ECG-BP,user_sensei_661,1668087976.581,24
SCAI-ECG-BP,user_sensei_661,1668087977.581,25
SCAI-ECG-BP,user_sensei_661,1668087978.581,25
SCAI-ECG-BP,user_sensei_661,1668087979.581,24
SCAI-ECG-BP,user_sensei_661,1668087980.581,23
SCAI-ECG-BP,user_sensei_661,1668087981.581,23
