projectId,userId,time,hr
SCAI-ECG-BP,user_sensei_223,1668438308.692,79
SCAI-ECG-BP,user_sensei_223,1668438309.692,80
SCAI-ECG-BP,user_sensei_223,1668438310.692,82
SCAI-ECG-BP,user_sensei_223,1668438311.692,84
SCAI-ECG-BP,user_sensei_223,1668438312.692,85
SCAI-ECG-BP,user_sensei_223,1668438313.692,85
SCAI-ECG-BP,user_sensei_223,1668438314.692,85
SCAI-ECG-BP,user_sensei_223,1668438315.692,83
SCAI-ECG-BP,user_sensei_223,1668438316.692,82
SCAI-ECG-BP,user_sensei_223,1668438317.692,80
SCAI-ECG-BP,user_sensei_223,1668438318.692,79
SCAI-ECG-BP,user_sensei_223,1668438319.692,78
SCAI-ECG-BP,user_sensei_223,1668438320.692,77
SCAI-ECG-BP,user_sensei_223,1668438321.692,77
SCAI-ECG-BP,user_sensei_223,1668438322.692,76
SCAI-ECG-BP,user_sensei_223,1668438323.693,76
SCAI-ECG-BP,user_sensei_223,1668438324.692,76
SCAI-ECG-BP,user_sensei_223,1668438325.692,76
SCAI-ECG-BP,user_sensei_223,1668438326.693,76
SCAI-ECG-BP,user_sensei_223,1668438327.692,76
SCAI-ECG-BP,user_sensei_223,1668438328.692,75
SCAI-ECG-BP,user_sensei_223,1668438329.693,75
SCAI-ECG-BP,user_sensei_223,1668438330.692,75
SCAI-ECG-BP,user_sensei_223,1668438331.692,75
SCAI-ECG-BP,user_sensei_223,1668438332.692,75
SCAI-ECG-BP,user_sensei_223,1668438333.692,75
SCAI-ECG-BP,user_sensei_223,1668438334.692,75
SCAI-ECG-BP,user_sensei_223,1668438335.692,75
SCAI-ECG-BP,user_sensei_223,1668438336.692,75
SCAI-ECG-BP,user_sensei_223,1668438337.692,74
SCAI-ECG-BP,user_sensei_223,1668438338.692,74
SCAI-ECG-BP,user_sensei_223,1668438339.692,74
SCAI-ECG-BP,user_sensei_223,1668438340.692,73
SCAI-ECG-BP,user_sensei_223,1668438341.692,73
SCAI-ECG-BP,user_sensei_223,1668438342.692,73
SCAI-ECG-BP,user_sensei_223,1668438343.692,73
SCAI-ECG-BP,user_sensei_223,1668438344.692,73
SCAI-ECG-BP,user_sensei_223,1668438345.692,73
SCAI-ECG-BP,user_sensei_223,1668438346.692,73
SCAI-ECG-BP,user_sensei_223,1668438347.692,73
SCAI-ECG-BP,user_sensei_223,1668438348.692,73
